intent number,intent description
001,Buy Mobile
002,Reviewing flood insurance needs
003,Checking on buying stock
004,Checking on flood insurance
005,Checking the need to buy insurance
006,Check the stock market conditions to buy
007,Evaluating car insurance options
008,Checking the need to buy insurance
009,Reviewing flood insurance needs
010,Checking on flood insurance
011,Reviewing flood insurance needs
012,Understanding health insurance premiums
013,Checking on buying stock
014,Checking the need to buy insurance
015,Inquiring about health insurance
016,Evaluating car insurance options
017,Understanding health insurance premiums
018,Check the stock market conditions to buy
019,Buying stock for future needs
020,Checking on flood insurance
021,Checking stock price patterns before buying
022,Checking investment opportunities in stocks
023,Checking the need to buy insurance
024,Check the stock market conditions to buy
025,Exploring home insurance options
026,Evaluating short-term insurance options
027,Inquiring about health insurance
028,Checking the need to buy insurance
029,Reviewing flood insurance needs
030,Checking on flood insurance
031,Inquiring about health insurance
032,Reviewing flood insurance needs
033,Considering options to buy stocks
034,Buying stock for future needs
035,Understanding health insurance premiums
036,Considering options to buy stocks
037,Understanding stock market trends
038,Check the stock market conditions to buy
039,Checking investment opportunities in stocks
040,Investigating comprehensive insurance policies
041,Buy Insurance
042,Buying corporate insurance plans
043,Buy Insurance
044,Inquiring about health insurance
045,Assessing insurance for business
046,Inquiring about health insurance
047,Analyzing life insurance plans
048,Buying corporate insurance plans
049,Reviewing flood insurance needs
050,Exploring home insurance options
051,Inquiring about health insurance
052,Buying corporate insurance plans
053,Assessing insurance for business
054,Considering options to buy stocks
055,Checking on buying stock
056,Buying corporate insurance plans
057,Understanding health insurance premiums
058,Buy Insurance
059,Evaluating car insurance options
060,Evaluating car insurance options
061,Evaluating car insurance options
062,Buying corporate insurance plans
063,Checking stock price patterns before buying
064,Assessing insurance for business
065,Checking on buying stock
066,Checking stock price patterns before buying
067,Understanding health insurance premiums
068,Checking on flood insurance
069,Buying corporate insurance plans
070,Understanding stock market trends
071,Checking on flood insurance
072,Understanding stock market trends
073,Checking stock price patterns before buying
074,Evaluating short-term insurance options
075,Reviewing flood insurance needs
076,Exploring home insurance options
077,Checking the need to buy insurance
078,Understanding health insurance premiums
079,Evaluating car insurance options
080,Assessing insurance for business
081,Assessing insurance for business
082,Buying corporate insurance plans
083,Analyzing life insurance plans
084,Inquiring about health insurance
085,Understanding health insurance premiums
086,Understanding health insurance premiums
087,Buying corporate insurance plans
088,Reviewing flood insurance needs
089,Assessing insurance for business
090,Checking on flood insurance
091,Checking on buying stock
092,Exploring home insurance options
093,Exploring home insurance options
094,Investigating comprehensive insurance policies
095,Considering options to buy stocks
096,Buying stock for future needs
097,Inquiring about health insurance
098,Inquiring about health insurance
099,Inquiring about health insurance
100,Considering options to buy stocks
